Rank,Name,Net Worth,Change,Age,Country/Territory,Source,Industry,Net Worth Num
659,Lynsi Snyder,$4.2 B,unchanged,40.0,United States,In-N-Out Burger,Food & Beverage,4.2
659,Djoko Susanto,$4.2 B,up arrow,73.0,Indonesia,Supermarkets,Fashion & Retail,4.2
659,Tahir & family,$4.2 B,up arrow,71.0,Indonesia,Diversified,Diversified,4.2
659,Peter Thiel,$4.2 B,down arrow,55.0,United States,"Facebook, investments",Finance & Investments,4.2
679,Andrej Babis,$4.1 B,down arrow,68.0,Czech Republic,Agriculture,Food & Beverage,4.1
679,Danielle Bellon & family,$4.1 B,up arrow,83.0,France,Food services,Service,4.1
679,Hubert Burda,$4.1 B,up arrow,83.0,Germany,Publishing,Media & Entertainment,4.1
679,Nick Caporella,$4.1 B,up arrow,87.0,United States,Beverages,Food & Beverage,4.1
679,John Catsimatidis,$4.1 B,up arrow,74.0,United States,"Oil, real estate",Energy,4.1
679,Scott Cook,$4.1 B,down arrow,70.0,United States,Software,Technology,4.1
679,Luca Garavoglia,$4.1 B,up arrow,54.0,Italy,Spirits,Food & Beverage,4.1
679,Antti Herlin,$4.1 B,down arrow,66.0,Finland,"Elevators, escalators",Manufacturing,4.1
679,Hong Jie,$4.1 B,up arrow,55.0,China,Paint,Manufacturing,4.1
679,"Jeremy Jacobs, Sr. & family",$4.1 B,up arrow,83.0,United States,Food service,Service,4.1
679,Igor Kesaev,$4.1 B,up arrow,56.0,Russia,"Tobacco distribution, retail",Fashion & Retail,4.1
679,Mary Alice Dorrance Malone,$4.1 B,up arrow,73.0,United States,Campbell Soup,Food & Beverage,4.1
679,Joao Moreira Salles,$4.1 B,up arrow,61.0,Brazil,"Banking, minerals",Diversified,4.1
679,Walther Moreira Salles Junior,$4.1 B,up arrow,66.0,Brazil,"Banking, minerals",Finance & Investments,4.1
679,Arturo Moreno,$4.1 B,up arrow,76.0,United States,"Billboards, Los Angeles Angels",Sports,4.1
679,Peter Spuhler,$4.1 B,down arrow,63.0,Switzerland,Train cars,Manufacturing,4.1
679,Donald Sterling,$4.1 B,up arrow,88.0,United States,Real estate,Real Estate,4.1
679,Kerry Stokes,$4.1 B,down arrow,82.0,Australia,"Construction equipment, media",Diversified,4.1
679,Ken Xie,$4.1 B,down arrow,60.0,United States,Cybersecurity,Technology,4.1
679,Liangzhi Xie & family,$4.1 B,down arrow,57.0,China,Biotech,Healthcare,4.1
699,Sid Bass,$4 B,up arrow,80.0,United States,"Oil, investments",Energy,4.0
699,Ben Chestnut,$4 B,down arrow,48.0,United States,Email marketing,Technology,4.0
699,Elisabeth DeLuca & family,$4 B,new to list,75.0,United States,Subway,Food & Beverage,4.0
699,Guangchang Guo,$4 B,down arrow,56.0,China,Conglomerate,Diversified,4.0
699,Vinod Rai Gupta,$4 B,up arrow,77.0,India,Electrical equipment,Manufacturing,4.0
699,John Henry,$4 B,up arrow,73.0,United States,Sports,Sports,4.0
699,Travis Kalanick,$4 B,up arrow,46.0,United States,Uber,Technology,4.0
699,Koon Poh Keong,$4 B,down arrow,61.0,Malaysia,Aluminum,Manufacturing,4.0
699,Dan Kurzius,$4 B,down arrow,51.0,United States,Email marketing,Technology,4.0
699,Paul Lee,$4 B,down arrow,65.0,United States,Battery separators,Manufacturing,4.0
699,Tobi Lutke,$4 B,down arrow,42.0,Canada,E-commerce,Technology,4.0
699,Gail Miller,$4 B,up arrow,79.0,United States,Car dealerships,Automotive,4.0
699,Rajan Mittal,$4 B,,63.0,India,Telecom,Telecom,4.0
699,Rakesh Mittal,$4 B,,67.0,India,Telecom,Telecom,4.0
699,Isaac Perlmutter,$4 B,down arrow,80.0,United States,Marvel comics,Media & Entertainment,4.0
699,"Bernard Saul, II.",$4 B,up arrow,90.0,United States,"Banking, real estate",Finance & Investments,4.0
699,Shaul Shani,$4 B,down arrow,68.0,Israel,Telecom,Telecom,4.0
699,Steven Spielberg,$4 B,up arrow,76.0,United States,Movies,Media & Entertainment,4.0
699,Jerzy Starak,$4 B,unchanged,75.0,Poland,Pharmaceuticals,Healthcare,4.0
699,Torbjorn Tornqvist,$4 B,up arrow,69.0,Sweden,Oil trading,Energy,4.0
699,Rufino Vigil Gonzalez,$4 B,up arrow,74.0,Mexico,Steel,Metals & Mining,4.0
699,Zhang Daocai,$4 B,up arrow,73.0,China,Valves,Diversified,4.0
721,Juergen Blickle,$3.9 B,down arrow,76.0,Germany,Auto parts,Manufacturing,3.9
721,"Austen Cargill, II.",$3.9 B,down arrow,72.0,United States,Cargill,Food & Beverage,3.9
721,"James Cargill, II.",$3.9 B,down arrow,73.0,United States,Cargill,Food & Beverage,3.9
721,Vanich Chaiyawan,$3.9 B,up arrow,91.0,Thailand,"Insurance, beverages",Finance & Investments,3.9
721,Chen Dongsheng,$3.9 B,up arrow,65.0,China,Insurance,Finance & Investments,3.9
721,Mong-Koo Chung,$3.9 B,down arrow,85.0,South Korea,Hyundai,Automotive,3.9
721,Kenneth Dart,$3.9 B,up arrow,67.0,Belize,Investments,Finance & Investments,3.9
721,Giuseppe De'Longhi & family,$3.9 B,down arrow,83.0,Italy,Coffee makers,Fashion & Retail,3.9
721,Guenther Fielmann & family,$3.9 B,down arrow,83.0,Germany,Optometry,Healthcare,3.9
721,W. Herbert Hunt,$3.9 B,down arrow,94.0,United States,Oil,Energy,3.9
721,James Irsay,$3.9 B,up arrow,63.0,United States,Indianapolis Colts,Sports,3.9
721,Somurai Jaruphnit,$3.9 B,new to list,,Thailand,Diversified,Diversified,3.9
721,Marianne Liebmann,$3.9 B,down arrow,69.0,United States,Cargill,Food & Beverage,3.9
721,Jorge Moll Filho & family,$3.9 B,down arrow,78.0,Brazil,Hospitals,Healthcare,3.9
721,Fernando Roberto Moreira Salles,$3.9 B,up arrow,76.0,Brazil,"Banking, minerals",Diversified,3.9
721,Pedro Moreira Salles,$3.9 B,up arrow,63.0,Brazil,"Banking, minerals",Diversified,3.9
721,Gabe Newell,$3.9 B,unchanged,60.0,United States,Videogames,Gambling & Casinos,3.9
721,Alfred Oetker,$3.9 B,up arrow,56.0,Germany,Consumer goods,Fashion & Retail,3.9
721,Carl Ferdinand Oetker,$3.9 B,up arrow,50.0,Germany,Consumer goods,Fashion & Retail,3.9
721,Julia Oetker,$3.9 B,up arrow,44.0,Germany,Consumer goods,Fashion & Retail,3.9
721,Ruan Hongliang & family,$3.9 B,down arrow,62.0,China,Glass,Manufacturing,3.9
721,Mark Stevens,$3.9 B,down arrow,63.0,United States,Venture capital,Finance & Investments,3.9
721,Tsai Hong-tu,$3.9 B,down arrow,70.0,Taiwan,Finance,Finance & Investments,3.9
721,Nusli Wadia,$3.9 B,up arrow,79.0,India,Consumer goods,Food & Beverage,3.9
721,Wu Yiling,$3.9 B,unchanged,73.0,China,Pharmaceuticals,Healthcare,3.9
721,Yu Renrong,$3.9 B,down arrow,57.0,China,Semiconductors,Manufacturing,3.9
721,Zhu Baoguo & family,$3.9 B,down arrow,60.0,China,Pharmaceuticals,Healthcare,3.9
748,Rahul Bhatia,$3.8 B,,63.0,India,Aviation,Service,3.8
748,Francesco Gaetano Caltagirone,$3.8 B,down arrow,80.0,Italy,"Cement, diversified",Construction & Engineering,3.8
748,Barry Diller,$3.8 B,down arrow,81.0,United States,Online media,Media & Entertainment,3.8
748,Wesley Edens,$3.8 B,up arrow,61.0,United States,Investments,Finance & Investments,3.8
748,Stephen Feinberg,$3.8 B,up arrow,63.0,United States,Private equity,Finance & Investments,3.8
748,Rakesh Gangwal,$3.8 B,down arrow,69.0,United States,Airline,Service,3.8
748,Joseph Grendys,$3.8 B,up arrow,61.0,United States,Poultry processing,Food & Beverage,3.8
748,Martha Ingram & family,$3.8 B,down arrow,87.0,United States,"Book distribution, transportation",Media & Entertainment,3.8
748,Li Xiang,$3.8 B,down arrow,41.0,China,Electric vehicles,Automotive,3.8
748,"H. Ross Perot, Jr.",$3.8 B,up arrow,64.0,United States,Real estate,Real Estate,3.8
748,Chandru Raheja,$3.8 B,up arrow,82.0,India,Real estate,Real Estate,3.8
748,Trevor Rees-Jones,$3.8 B,down arrow,71.0,United States,Oil & gas,Energy,3.8
748,Yasumitsu Shigeta,$3.8 B,up arrow,58.0,Japan,Mobile phone retailer,Telecom,3.8
748,Su Qingcan,$3.8 B,new to list,54.0,China,Healthcare,Healthcare,3.8
748,Tsai Cheng-ta,$3.8 B,down arrow,73.0,Taiwan,Finance,Finance & Investments,3.8
748,Steven Udvar-Hazy,$3.8 B,down arrow,77.0,United States,Aircraft leasing,Service,3.8
748,Elizabeth Uihlein,$3.8 B,new to list,77.0,United States,Packaging materials,Manufacturing,3.8
748,Richard Uihlein,$3.8 B,new to list,77.0,United States,Packaging materials,Manufacturing,3.8
766,Hayes Barnard,$3.7 B,new to list,51.0,United States,Fintech,Finance & Investments,3.7
766,William Berkley,$3.7 B,unchanged,76.0,United States,Insurance,Finance & Investments,3.7
766,Charles Cohen,$3.7 B,up arrow,71.0,United States,Real estate,Real Estate,3.7
766,Yakir Gabay,$3.7 B,down arrow,56.0,Cyprus,Real estate,Real Estate,3.7
766,Huang Li,$3.7 B,down arrow,59.0,China,Imaging systems,Technology,3.7
766,Brad Jacobs,$3.7 B,unchanged,66.0,United States,Logistics,Logistics,3.7
766,Ji Qi,$3.7 B,up arrow,56.0,China,"Hotels, motels",Real Estate,3.7
766,Jason Jiang,$3.7 B,down arrow,50.0,Singapore,Advertising,Media & Entertainment,3.7
766,Jim Kavanaugh,$3.7 B,up arrow,60.0,United States,IT provider,Technology,3.7
766,Richard LeFrak & family,$3.7 B,unchanged,77.0,United States,Real estate,Real Estate,3.7
766,Mikhail Lomtadze,$3.7 B,up arrow,47.0,Georgia,Fintech,Finance & Investments,3.7
766,Tom Morris,$3.7 B,up arrow,68.0,United Kingdom,Retail,Fashion & Retail,3.7
766,Shigenobu Nagamori,$3.7 B,down arrow,78.0,Japan,Motors,Manufacturing,3.7
766,Daniel Och,$3.7 B,down arrow,62.0,United States,Hedge funds,Finance & Investments,3.7
766,Horst Paulmann & family,$3.7 B,up arrow,88.0,Chile,Retail,Fashion & Retail,3.7
766,Anthony Pritzker,$3.7 B,unchanged,62.0,United States,"Hotels, investments",Service,3.7
766,John Sall,$3.7 B,up arrow,75.0,United States,Software,Technology,3.7
766,Howard Schultz,$3.7 B,down arrow,69.0,United States,Starbucks,Food & Beverage,3.7
766,Richard Schulze,$3.7 B,down arrow,82.0,United States,Best Buy,Fashion & Retail,3.7
766,Yitzhak Tshuva,$3.7 B,down arrow,74.0,Israel,Real estate,Real Estate,3.7
766,Wang Yanqing & family,$3.7 B,down arrow,56.0,China,Electrical equipment,Manufacturing,3.7
787,Rajiv Bajaj,$3.6 B,,56.0,India,Diversified,Diversified,3.6
787,Sanjiv Bajaj,$3.6 B,,53.0,India,Diversified,Diversified,3.6
787,Leonid Boguslavsky,$3.6 B,down arrow,71.0,Canada,Venture capital,Finance & Investments,3.6
787,Jim Coulter,$3.6 B,up arrow,63.0,United States,Private equity,Finance & Investments,3.6
787,Nicolas D'Ieteren,$3.6 B,new to list,47.0,Belgium,"Auto parts, distribution",Automotive,3.6
787,Beatriz Davila de Santo Domingo,$3.6 B,up arrow,84.0,Colombia,Beer,Food & Beverage,3.6
787,Bob Gaglardi,$3.6 B,up arrow,82.0,Canada,Hotels,Real Estate,3.6
787,Jaime Gilinski Bacal,$3.6 B,down arrow,65.0,Colombia,Banking,Finance & Investments,3.6
787,Pansy Ho,$3.6 B,up arrow,60.0,Hong Kong,Casinos,Gambling & Casinos,3.6
787,Alan Howard,$3.6 B,up arrow,59.0,United Kingdom,Hedge funds,Finance & Investments,3.6
787,Huang Yi,$3.6 B,down arrow,61.0,Hong Kong,Car dealerships,Automotive,3.6
787,Peter Kellogg,$3.6 B,unchanged,80.0,United States,Investments,Finance & Investments,3.6
787,Vyacheslav Kim,$3.6 B,up arrow,53.0,Kazakhstan,Fintech,Finance & Investments,3.6
787,Josh Kushner,$3.6 B,up arrow,37.0,United States,Venture capital,Finance & Investments,3.6
787,Samuel Tak Lee,$3.6 B,down arrow,83.0,Hong Kong,Real estate,Real Estate,3.6
787,Edwin Leong,$3.6 B,down arrow,71.0,Hong Kong,Real estate,Real Estate,3.6
787,"Stephen Mandel, Jr.",$3.6 B,down arrow,67.0,United States,Hedge funds,Finance & Investments,3.6
787,Mohamed Mansour,$3.6 B,up arrow,75.0,Egypt,Diversified,Diversified,3.6
787,Masahiro Miki,$3.6 B,up arrow,67.0,Japan,Shoes,Fashion & Retail,3.6
787,Masahiro Noda,$3.6 B,up arrow,84.0,Japan,Software,Technology,3.6
787,Cliff Obrecht,$3.6 B,down arrow,37.0,Australia,Software,Technology,3.6
787,Melanie Perkins,$3.6 B,down arrow,35.0,Australia,Software,Technology,3.6
787,J.B. Pritzker,$3.6 B,unchanged,58.0,United States,"Hotels, investments",Finance & Investments,3.6
787,Juan Roig,$3.6 B,down arrow,73.0,Spain,Supermarkets,Fashion & Retail,3.6
787,Jerry Speyer & family,$3.6 B,unchanged,82.0,United States,Real estate,Real Estate,3.6
787,Lawrence Stroll,$3.6 B,up arrow,63.0,Canada,Fashion investments,Fashion & Retail,3.6
787,Tung Chee Chen,$3.6 B,unchanged,80.0,Hong Kong,Shipping,Logistics,3.6
787,Wang Junlin & family,$3.6 B,down arrow,60.0,China,Liquor,Food & Beverage,3.6
787,Xia Zuoquan,$3.6 B,up arrow,61.0,China,"Automobiles, batteries",Automotive,3.6
787,Zeng Fangqin,$3.6 B,down arrow,57.0,Hong Kong,Smartphone components,Technology,3.6
787,Zhang Jian,$3.6 B,up arrow,54.0,China,"Electric bikes, scooters",Manufacturing,3.6
818,Rocco Basilico,$3.5 B,new to list,33.0,Italy,Eyeglasses,Fashion & Retail,3.5
818,Maurizio Billi,$3.5 B,up arrow,65.0,Brazil,Generic drugs,Healthcare,3.5
818,Fashu Chen,$3.5 B,down arrow,62.0,China,Investments,Finance & Investments,3.5
818,Giuseppe Crippa & family,$3.5 B,up arrow,87.0,Italy,Microchip testing,Manufacturing,3.5
818,Daniel D'Aniello,$3.5 B,down arrow,76.0,United States,Private equity,Finance & Investments,3.5
818,Claudio Del Vecchio,$3.5 B,new to list,66.0,Italy,Eyeglasses,Fashion & Retail,3.5
818,Clemente Del Vecchio,$3.5 B,new to list,18.0,Italy,Eyeglases,Fashion & Retail,3.5
818,Leonardo Maria Del Vecchio,$3.5 B,new to list,27.0,Italy,Eyeglasses,Fashion & Retail,3.5
818,Luca Del Vecchio,$3.5 B,new to list,21.0,Italy,Eyeglasses,Fashion & Retail,3.5
818,Marisa Del Vecchio,$3.5 B,new to list,64.0,Italy,Eyeglasses,Fashion & Retail,3.5
818,Paola Del Vecchio,$3.5 B,new to list,61.0,Italy,Eyeglasses,Fashion & Retail,3.5
818,Walter P.J. Droege,$3.5 B,down arrow,70.0,Germany,Investing,Finance & Investments,3.5
818,Fan Daidi,$3.5 B,new to list,57.0,China,Skincare,Fashion & Retail,3.5
818,Peter Gassner,$3.5 B,up arrow,58.0,United States,Software,Technology,3.5
818,Mikhail Gutseriev,$3.5 B,up arrow,65.0,Russia,"Oil, coal, real estate",Energy,3.5
818,Patrick Lee,$3.5 B,down arrow,81.0,Hong Kong,Paper,Manufacturing,3.5
818,Leng Youbin,$3.5 B,down arrow,54.0,China,Infant formula,Food & Beverage,3.5
818,Daniel Loeb,$3.5 B,down arrow,61.0,United States,Hedge funds,Finance & Investments,3.5
818,Margarita Louis-Dreyfus & family,$3.5 B,down arrow,60.0,Switzerland,Commodities,Food & Beverage,3.5
818,Prasert Prasarttong-Osoth,$3.5 B,up arrow,90.0,Thailand,Hospitals,Healthcare,3.5
818,Ira Rennert,$3.5 B,down arrow,88.0,United States,Investments,Finance & Investments,3.5
818,Dirk Rossmann & family,$3.5 B,up arrow,76.0,Germany,Drugstores,Fashion & Retail,3.5
818,Arkady Rotenberg,$3.5 B,up arrow,71.0,Russia,"Construction, pipes, banking",Construction & Engineering,3.5
818,Remo Ruffini,$3.5 B,up arrow,61.0,Italy,Winter jackets,Fashion & Retail,3.5
818,Karin Sartorius-Herbst,$3.5 B,up arrow,,Germany,Biopharmaceuticals,Healthcare,3.5
818,Vivek Chaand Sehgal,$3.5 B,up arrow,66.0,Australia,Auto parts,Automotive,3.5
818,Scott Shleifer,$3.5 B,down arrow,45.0,United States,Private equity,Finance & Investments,3.5
818,Thomas Siebel,$3.5 B,unchanged,70.0,United States,Business software,Technology,3.5
818,Wim van der Leegte & family,$3.5 B,up arrow,75.0,Netherlands,Manufacturing,Manufacturing,3.5
818,Xiao Yongming & family,$3.5 B,down arrow,58.0,China,Fertilizer,Diversified,3.5
818,Michael Xie,$3.5 B,up arrow,54.0,United States,Cybersecurity,Technology,3.5
818,Yang Shaopeng,$3.5 B,down arrow,65.0,China,Shipping,Logistics,3.5
818,Nicoletta Zampillo,$3.5 B,new to list,65.0,Italy,Eyeglasses,Fashion & Retail,3.5
818,Barry Zekelman,$3.5 B,up arrow,56.0,Canada,Steel,Manufacturing,3.5
852,William Ackman,$3.4 B,up arrow,56.0,United States,Hedge funds,Finance & Investments,3.4
852,Somphote Ahunai,$3.4 B,down arrow,55.0,Thailand,Renewable energy,Energy,3.4
852,Igor Altushkin,$3.4 B,up arrow,52.0,Russia,Metals,Metals & Mining,3.4
852,Ramon Ang,$3.4 B,up arrow,69.0,Philippines,Diversified,Food & Beverage,3.4
852,Acharya Balkrishna,$3.4 B,up arrow,50.0,India,Consumer goods,Food & Beverage,3.4
852,Markus Blocher,$3.4 B,up arrow,52.0,Switzerland,Chemicals,Manufacturing,3.4
852,Richard Branson,$3.4 B,down arrow,72.0,United Kingdom,Virgin,Diversified,3.4
852,Cho Jung-ho,$3.4 B,up arrow,64.0,South Korea,Finance,Finance & Investments,3.4
852,Alessandra Garavoglia,$3.4 B,up arrow,63.0,Italy,Spirits,Food & Beverage,3.4
852,Laurence Graff & family,$3.4 B,unchanged,84.0,United Kingdom,Diamond jewelry,Fashion & Retail,3.4
852,"Amos Hostetter, Jr.",$3.4 B,down arrow,86.0,United States,Cable television,Media & Entertainment,3.4
852,Robert Johnson,$3.4 B,new to list,75.0,United States,"Johnson & Johnson, sports",Sports,3.4
852,Steven Klinsky,$3.4 B,unchanged,66.0,United States,Investments,Finance & Investments,3.4
852,William Lauder,$3.4 B,down arrow,62.0,United States,Estee Lauder,Fashion & Retail,3.4
852,John Middleton,$3.4 B,unchanged,68.0,United States,Tobacco,Food & Beverage,3.4
852,Hiroshi Mikitani,$3.4 B,down arrow,58.0,Japan,Online retail,Fashion & Retail,3.4
852,Bob Parsons,$3.4 B,unchanged,72.0,United States,Web hosting,Technology,3.4
852,J. Joe Ricketts & family,$3.4 B,down arrow,81.0,United States,TD Ameritrade,Finance & Investments,3.4
852,Herb Simon,$3.4 B,down arrow,88.0,United States,Real estate,Real Estate,3.4
852,Leena Tewari,$3.4 B,down arrow,65.0,India,Pharmaceuticals,Healthcare,3.4
852,Stefan von Holtzbrinck,$3.4 B,up arrow,59.0,Germany,Publishing,Media & Entertainment,3.4
852,Hans Peter Wild,$3.4 B,down arrow,81.0,Switzerland,Flavorings,Food & Beverage,3.4
852,Wu Guanjiang & family,$3.4 B,down arrow,54.0,China,Pharmaceuticals,Healthcare,3.4
852,Yi Zheng,$3.4 B,up arrow,52.0,China,Software,Technology,3.4
852,Eric Yuan & family,$3.4 B,down arrow,53.0,United States,Zoom Video Communications,Technology,3.4
852,Charles Zegar,$3.4 B,up arrow,75.0,United States,Bloomberg LP,Media & Entertainment,3.4
878,Mohed Altrad,$3.3 B,down arrow,75.0,France,"Scaffolding, cement mixers",Construction & Engineering,3.3
878,John Arnold,$3.3 B,unchanged,49.0,United States,Hedge funds,Finance & Investments,3.3
878,Bill Austin,$3.3 B,up arrow,81.0,United States,Hearing aids,Manufacturing,3.3
878,Chen Shibin,$3.3 B,up arrow,56.0,China,Quartz products,Manufacturing,3.3
878,Bennett Dorrance,$3.3 B,up arrow,77.0,United States,Campbell Soup,Food & Beverage,3.3
878,Walter Faria,$3.3 B,unchanged,68.0,Brazil,Beer,Food & Beverage,3.3
878,Walter Frey,$3.3 B,up arrow,79.0,Switzerland,Car dealerships,Automotive,3.3
878,Fu Liquan & family,$3.3 B,down arrow,55.0,China,Surveillance equipment,Technology,3.3
878,John Gandel,$3.3 B,unchanged,88.0,Australia,Shopping malls,Real Estate,3.3
878,Peter Gilgan,$3.3 B,up arrow,72.0,Canada,Homebuilding,Construction & Engineering,3.3
878,Kwek Leng Beng,$3.3 B,up arrow,82.0,Singapore,Diversified,Diversified,3.3
878,Pablo Legorreta,$3.3 B,down arrow,59.0,United States,Investments,Finance & Investments,3.3
878,Arnon Milchan,$3.3 B,down arrow,78.0,Israel,Movie making,Media & Entertainment,3.3
878,Akio Nitori,$3.3 B,down arrow,79.0,Japan,Home furnishings,Fashion & Retail,3.3
878,Julio Ponce Lerou,$3.3 B,down arrow,77.0,Chile,Fertilizer,Metals & Mining,3.3
878,Rodger Riney & family,$3.3 B,down arrow,77.0,United States,Discount brokerage,Finance & Investments,3.3
878,Phil Ruffin,$3.3 B,up arrow,88.0,United States,"Casinos, real estate",Diversified,3.3
878,Naguib Sawiris,$3.3 B,down arrow,68.0,Egypt,Telecom,Telecom,3.3
878,Shen Neil,$3.3 B,down arrow,55.0,Hong Kong,Venture capital,Finance & Investments,3.3
878,Gil Shwed,$3.3 B,down arrow,54.0,Israel,Software,Technology,3.3
878,Stephen Smith,$3.3 B,up arrow,71.0,Canada,Finance and investments,Finance & Investments,3.3
878,Nik Storonsky,$3.3 B,down arrow,38.0,United Kingdom,Fintech,Finance & Investments,3.3
878,Jeffrey Talpins,$3.3 B,up arrow,48.0,United States,Hedge fund,Finance & Investments,3.3
878,Carl Thoma,$3.3 B,up arrow,74.0,United States,Investments,Finance & Investments,3.3
878,Todd Wanek,$3.3 B,down arrow,59.0,United States,Furniture,Manufacturing,3.3
878,Xue Hua,$3.3 B,down arrow,53.0,China,Agribusiness,Manufacturing,3.3
878,Takao Yasuda,$3.3 B,up arrow,73.0,Japan,Retail,Fashion & Retail,3.3
905,Karen Virginia Beckmann Legoretta,$3.2 B,up arrow,53.0,Mexico,Tequila,Food & Beverage,3.2
905,Giuliana Benetton,$3.2 B,up arrow,85.0,Italy,"Fashion retail, investments",Fashion & Retail,3.2
905,Luciano Benetton,$3.2 B,up arrow,87.0,Italy,"Fashion retail, investments",Fashion & Retail,3.2
905,Arun Bharat Ram,$3.2 B,down arrow,82.0,India,Chemicals,Manufacturing,3.2
905,Ron Burkle,$3.2 B,up arrow,70.0,United States,"Supermarkets, investments",Finance & Investments,3.2
905,Chen Kaixuan,$3.2 B,down arrow,64.0,China,Household chemicals,Manufacturing,3.2
905,Brunello Cucinelli & family,$3.2 B,up arrow,69.0,Italy,Fashion,Fashion & Retail,3.2
905,Antonio Del Valle Ruiz & family,$3.2 B,down arrow,84.0,Mexico,Chemicals,Manufacturing,3.2
905,Gustavo Denegri & family,$3.2 B,,86.0,Italy,Biotech,Healthcare,3.2
905,Dong Jinggui,$3.2 B,up arrow,53.0,China,Electric scooters,Automotive,3.2
905,Charles Ergen,$3.2 B,down arrow,70.0,United States,Satellite TV,Media & Entertainment,3.2
905,David Filo,$3.2 B,down arrow,56.0,United States,Yahoo,Technology,3.2
905,Lindsay Fox,$3.2 B,up arrow,85.0,Australia,"Logistics, real estate",Logistics,3.2
905,Sergei Galitsky,$3.2 B,unchanged,55.0,Russia,Retail,Fashion & Retail,3.2
905,Senapathy Gopalakrishnan,$3.2 B,down arrow,67.0,India,Software services,Technology,3.2
905,Luciano Hang,$3.2 B,down arrow,60.0,Brazil,Department stores,Fashion & Retail,3.2
905,Michael Hintze,$3.2 B,unchanged,69.0,Australia,Investment,Finance & Investments,3.2
905,Hu Baifan,$3.2 B,down arrow,60.0,China,Pharmaceuticals,Healthcare,3.2
905,Hamilton James & family,$3.2 B,up arrow,71.0,United States,Investments,Finance & Investments,3.2
905,Lee Boo-jin,$3.2 B,down arrow,52.0,South Korea,Samsung,Technology,3.2
905,Li Liangbin,$3.2 B,down arrow,55.0,China,Lithium,Manufacturing,3.2
905,Liang Feng,$3.2 B,down arrow,54.0,China,Manufacturing,Manufacturing,3.2
905,Samir Mehta,$3.2 B,up arrow,59.0,India,"Pharmaceuticals, power",Healthcare,3.2
905,Sudhir Mehta,$3.2 B,up arrow,68.0,India,"Pharmaceuticals, power",Healthcare,3.2
905,Aristotelis Mistakidis,$3.2 B,down arrow,61.0,Greece,"Mining, commodities",Metals & Mining,3.2
905,Geoffrey Palmer,$3.2 B,new to list,72.0,United States,Real estate,Real Estate,3.2
905,Roger Penske,$3.2 B,up arrow,86.0,United States,Cars,Automotive,3.2
905,Ravi Pillai,$3.2 B,up arrow,69.0,India,Construction,Construction & Engineering,3.2
905,David Rubenstein,$3.2 B,down arrow,73.0,United States,Private equity,Finance & Investments,3.2
905,Hilton Schlosberg,$3.2 B,up arrow,70.0,United Kingdom,Energy drinks,Food & Beverage,3.2
905,Klaus-Peter Schulenberg,$3.2 B,up arrow,71.0,Germany,Ticketing service,Service,3.2
905,Lynn Schusterman & family,$3.2 B,down arrow,84.0,United States,"Oil & gas, investments",Energy,3.2
905,Isabella Seràgnoli,$3.2 B,up arrow,77.0,Italy,Packaging,Manufacturing,3.2
905,Shen Guojun,$3.2 B,down arrow,60.0,China,Retail,Fashion & Retail,3.2
905,Warren Stephens,$3.2 B,up arrow,66.0,United States,Investment banking,Finance & Investments,3.2
905,Pat Stryker,$3.2 B,up arrow,66.0,United States,Medical equipment,Healthcare,3.2
905,Roman Trotsenko,$3.2 B,list returnee,52.0,Russia,"Transport, engineering, real estate",Logistics,3.2
905,Harald Tschira,$3.2 B,,48.0,Germany,Software,Technology,3.2
905,Udo Tschira,$3.2 B,,53.0,Germany,Software,Technology,3.2
905,Vincent Viola,$3.2 B,down arrow,67.0,United States,Electronic trading,Finance & Investments,3.2
905,Wu Shaoxun,$3.2 B,down arrow,67.0,China,Wine,Food & Beverage,3.2
905,Steve Wynn,$3.2 B,down arrow,81.0,United States,"Casinos, hotels",Gambling & Casinos,3.2
905,Jon Yarbrough,$3.2 B,up arrow,65.0,United States,Video games,Gambling & Casinos,3.2
905,Zhou Bajin,$3.2 B,down arrow,87.0,China,Auto parts,Manufacturing,3.2
949,Cho Tak Wong,$3.1 B,down arrow,76.0,Hong Kong,Auto parts,Manufacturing,3.1
949,John Coates,$3.1 B,up arrow,53.0,United Kingdom,Online gambling,Gambling & Casinos,3.1
949,Ryan Cohen,$3.1 B,up arrow,37.0,Canada,Investments,Finance & Investments,3.1
949,Deng Wen,$3.1 B,up arrow,55.0,China,Flavorings,Food & Beverage,3.1
949,Gurbachan Singh Dhingra,$3.1 B,down arrow,72.0,India,Paints,Manufacturing,3.1
949,Kuldip Singh Dhingra,$3.1 B,down arrow,75.0,India,Paints,Manufacturing,3.1
949,Martin Ebner,$3.1 B,down arrow,77.0,Switzerland,Investments,Finance & Investments,3.1
949,Charles Edelstenne,$3.1 B,down arrow,85.0,France,Aviation,Manufacturing,3.1
949,Sergei Gordeev,$3.1 B,up arrow,50.0,Russia,Real estate,Real Estate,3.1
949,Jeff T. Green,$3.1 B,down arrow,46.0,United States,Digital advertising,Media & Entertainment,3.1
949,Reed Hastings,$3.1 B,down arrow,62.0,United States,Netflix,Technology,3.1
949,Bertil Hult,$3.1 B,down arrow,82.0,Sweden,Education,Service,3.1
949,Miguel Krigsner,$3.1 B,down arrow,73.0,Brazil,Cosmetics,Fashion & Retail,3.1
949,Kuok Khoon Hong,$3.1 B,down arrow,73.0,Singapore,Palm oil,Manufacturing,3.1
