Rank,Name,Net Worth,Change,Age,Country/Territory,Source,Industry,Net Worth Num
215,David Cheriton,$9 B,down arrow,72.0,Canada,Google,Technology,9.0
215,Ivan Glasenberg,$9 B,down arrow,66.0,Switzerland,Mining,Metals & Mining,9.0
215,Alexander Otto,$9 B,down arrow,55.0,Germany,Real estate,Real Estate,9.0
215,Anthony von Mandl,$9 B,up arrow,73.0,Canada,Alcoholic beverages,Food & Beverage,9.0
215,Wang Liping & family,$9 B,up arrow,57.0,China,Hydraulic machinery,Manufacturing,9.0
220,Finn Rausing,$8.9 B,down arrow,68.0,Sweden,Packaging,Food & Beverage,8.9
220,Jorn Rausing,$8.9 B,down arrow,63.0,Sweden,Packaging,Food & Beverage,8.9
220,Kirsten Rausing,$8.9 B,down arrow,70.0,Sweden,Packaging,Food & Beverage,8.9
223,Tatyana Bakalchuk,$8.8 B,up arrow,47.0,Russia,Ecommerce,Fashion & Retail,8.8
223,John Doerr,$8.8 B,down arrow,71.0,United States,Venture capital,Technology,8.8
223,Richard Liu,$8.8 B,down arrow,49.0,China,E-commerce,Technology,8.8
223,Dustin Moskovitz,$8.8 B,down arrow,38.0,United States,Facebook,Technology,8.8
223,Pierre Omidyar,$8.8 B,down arrow,55.0,United States,"EBay, PayPal",Technology,8.8
223,Pei Zhenhua,$8.8 B,down arrow,64.0,China,Batteries,Energy,8.8
223,Carrie Perrodo & family,$8.8 B,up arrow,72.0,France,Oil,Energy,8.8
230,Chen Jianhua,$8.7 B,up arrow,52.0,China,Chemicals,Manufacturing,8.7
230,Michael Otto,$8.7 B,down arrow,79.0,Germany,"Retail, real estate",Fashion & Retail,8.7
232,Leon Black,$8.6 B,down arrow,71.0,United States,Private equity,Finance & Investments,8.6
232,Graeme Hart,$8.6 B,down arrow,67.0,New Zealand,Investments,Finance & Investments,8.6
232,Ravi Jaipuria,$8.6 B,up arrow,68.0,India,"Soft drinks, fast food",Food & Beverage,8.6
232,Hasso Plattner & family,$8.6 B,up arrow,79.0,Germany,Software,Technology,8.6
232,Carlos Alberto Sicupira & family,$8.6 B,up arrow,75.0,Brazil,Beer,Food & Beverage,8.6
232,Manuel Villar,$8.6 B,up arrow,73.0,Philippines,Real estate,Real Estate,8.6
232,Andreas von Bechtolsheim & family,$8.6 B,down arrow,67.0,Germany,Google,Technology,8.6
